"idx","orbit","type","rho","S","delta","minCover","holes"
"1","110","NMDS","3","0,1,2,3,5,6","7","1","0"
"2","110","NMDS","3","0,1,2,3,5,6","5","1","0"
"3","110","NMDS","4","0,1,2,3,5,6","3","0","1"
"4","110","NMDS","3","0,1,2,3,5,6","1","1","0"
"5","110","NMDS","4","0,1,2,3,5,6","10","0","1"
"6","110","NMDS","4","0,1,2,3,5,6","8","0","1"
"7","110","NMDS","3","0,1,2,3,5,6","6","1","0"
"8","110","NMDS","3","0,1,2,3,5,6","4","1","0"
"9","110","NMDS","3","0,1,2,3,5,6","2","1","0"
"10","110","NMDS","4","0,1,2,3,5,6","0","0","1"
"11","110","NMDS","4","0,1,2,3,5,6","9","0","1"
"12","110","NMDS","3","0,1,2,3,4,7","9","1","0"
"13","110","NMDS","3","0,1,2,3,4,7","1","1","0"
"14","110","NMDS","3","0,1,2,3,4,7","4","1","0"
"15","110","NMDS","3","0,1,2,3,4,7","7","1","0"
"16","110","NMDS","3","0,1,2,3,4,7","10","1","0"
"17","110","NMDS","3","0,1,2,3,4,7","2","1","0"
"18","110","NMDS","3","0,1,2,3,4,7","5","1","0"
"19","110","NMDS","3","0,1,2,3,4,7","8","1","0"
"20","110","NMDS","4","0,1,2,3,4,7","0","0","1"
"21","110","NMDS","3","0,1,2,3,4,7","3","1","0"
"22","110","NMDS","3","0,1,2,3,4,7","6","1","0"
"23","110","NMDS","4","0,1,2,3,4,6","6","0","1"
"24","110","NMDS","3","0,1,2,3,4,6","4","1","0"
"25","110","NMDS","3","0,1,2,3,4,6","2","1","0"
"26","110","NMDS","4","0,1,2,3,4,6","0","0","1"
"27","110","NMDS","4","0,1,2,3,4,6","9","0","1"
"28","110","NMDS","4","0,1,2,3,4,6","7","0","1"
"29","110","NMDS","3","0,1,2,3,4,6","5","1","0"
"30","110","NMDS","3","0,1,2,3,4,6","3","1","0"
"31","110","NMDS","3","0,1,2,3,4,6","1","1","0"
"32","110","NMDS","3","0,1,2,3,4,6","10","1","0"
"33","110","NMDS","4","0,1,2,3,4,6","8","0","1"
"34","110","NMDS","4","0,1,2,3,4,10","4","0","2"
"35","110","NMDS","3","0,1,2,3,4,10","0","1","0"
"36","110","NMDS","4","0,1,2,3,4,10","2","0","1"
"37","110","NMDS","4","0,1,2,3,4,10","3","0","2"
"38","55","MDS","3","0,1,2,3,4,10","10","1","0"
"39","110","NMDS","3","0,1,2,3,4,10","1","1","0"
"40","110","NMDS","3","0,1,2,3,5,9","2","1","0"
"41","110","NMDS","3","0,1,2,3,5,9","1","1","0"
"42","110","NMDS","3","0,1,2,3,5,9","0","1","0"
"43","55","NMDS","3","0,1,2,3,5,9","10","1","0"
"44","110","NMDS","3","0,1,2,3,5,9","3","1","0"
"45","110","NMDS","3","0,1,2,3,5,9","4","1","0"
"46","110","NMDS","4","0,1,2,4,5,7","0","0","1"
"47","110","NMDS","3","0,1,2,4,5,7","2","1","0"
"48","22","MDS","4","0,1,2,4,5,7","4","0","1"
